asset,memory_rule,MAE_bp,RMSE_bp,Bias_bp,Mean_ESS,N_Windows,N_Seeds,All_History_MAE_bp,Relative_MAE_vs_All
IWM,all_history,4.6027946502048325,6.9575543192175395,1.4487233883360853,1113.5763931318274,66,20,4.6027946502048325,0.0
IWM,last_252,9.487869686405924,16.010303446976227,7.006224420156811,94.88755208567801,66,20,4.6027946502048325,1.0613280425151483
IWM,last_126,14.963709515639362,27.030789255041263,14.194019999893015,53.05220385473767,66,20,4.6027946502048325,2.2510052376491423
IWM,last_60,16.766782935150424,31.75568209768618,14.773735143720312,27.8018625614398,66,20,4.6027946502048325,2.6427397286568657
QQQ,all_history,6.579803828395305,10.157039568573753,-1.837833337204046,654.384983467465,67,20,6.579803828395305,0.0
QQQ,last_252,9.135679422268463,16.09996377984855,5.37761995116879,77.99268553384235,67,20,6.579803828395305,0.38844252207690655
QQQ,last_126,13.696395136793171,26.048360489607603,11.597955326039186,43.99840536398219,67,20,6.579803828395305,1.0815810765795235
QQQ,last_60,15.890985247796255,36.0034645090369,12.058518025385526,23.64503698718125,67,20,6.579803828395305,1.4151153533207657
SPY,all_history,4.262396137083984,6.205158397181464,-1.1323681093650988,1013.4783324232172,67,20,4.262396137083984,0.0
SPY,last_252,6.908248110211348,11.21970597729359,3.9760248317503146,92.52758400670862,67,20,4.262396137083984,0.6207428610653396
SPY,last_126,10.183699677248633,16.087842951976334,9.13049830754419,51.90457269318599,67,20,4.262396137083984,1.3891959709346882
SPY,last_60,11.482958153786853,20.698052952069713,9.243737445059931,27.058692134469148,67,20,4.262396137083984,1.6940147711476303
