asset,evidence_type,m,MAE_bp,Bias_bp,Mean_ESS,N_Windows,N_Seeds
IWM,history_only,0,4.317919991152856,1.6977645691617167,1082.1846152785372,33,20
IWM,recent_original_policy,20,4.304515717391169,1.6996835516790874,1088.678935783154,33,20
IWM,recent_original_policy,40,4.300938080056493,1.7019624499583075,1095.0106410115523,33,20
IWM,recent_original_policy,80,4.2788433106303065,1.660841369428481,1107.9923182714178,33,20
IWM,target_aware_relogging,20,4.314103373079989,1.7039951715524384,1091.1309410939577,33,20
IWM,target_aware_relogging,40,4.311941822801476,1.7174016566244465,1100.1001593395526,33,20
IWM,target_aware_relogging,80,4.273909676158452,1.653940926158368,1118.210720362275,33,20
QQQ,history_only,0,7.156719352028711,-1.8625296471058181,644.3906300840971,33,20
QQQ,recent_original_policy,20,7.127521177063912,-1.8500711447938432,648.7244977123394,33,20
QQQ,recent_original_policy,40,7.077556644831048,-1.8546925417861957,653.1930515464262,33,20
QQQ,recent_original_policy,80,6.986505904166265,-1.8224385276293857,662.3615608543873,33,20
QQQ,target_aware_relogging,20,7.124144964587604,-1.8295499732239535,650.4915887873852,33,20
QQQ,target_aware_relogging,40,7.084033111002127,-1.8349504123970595,656.6740622118954,33,20
QQQ,target_aware_relogging,80,7.023685300875099,-1.8148624836273466,669.1380855977122,33,20
SPY,history_only,0,4.715492579551124,-1.1348110809548437,1007.8540985205369,33,20
SPY,recent_original_policy,20,4.712808794768879,-1.1314262276947376,1013.5424313116071,33,20
SPY,recent_original_policy,40,4.716381301694046,-1.1418357891415776,1019.8891000918962,33,20
SPY,recent_original_policy,80,4.711406056846759,-1.1455989283338923,1033.0059065058126,33,20
SPY,target_aware_relogging,20,4.710150270126461,-1.1175310616545082,1016.6310945695511,33,20
SPY,target_aware_relogging,40,4.695911164521844,-1.1168584636094487,1025.442506350342,33,20
SPY,target_aware_relogging,80,4.682056914358827,-1.1121529117451496,1043.3271510104437,33,20
